2024-02-26 23:30:41,225 INFO    MainThread:14925 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_setup.py:_flush():76] Configure stats pid to 14925
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_setup.py:_flush():76] Loading settings from /home/zhefan/.config/wandb/settings
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_setup.py:_flush():76] Loading settings from /home/zhefan/Desktop/depth_estimation/Depth-Anything/metric_depth/wandb/settings
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'start_method': 'thread'}
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'metric_depth/train_mono.py', 'program_abspath': '/home/zhefan/Desktop/depth_estimation/Depth-Anything/metric_depth/train_mono.py', 'program': '/home/zhefan/Desktop/depth_estimation/Depth-Anything/metric_depth/train_mono.py'}
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_init.py:_log_setup():526] Logging user logs to ./wandb/run-20240226_233041-l3h7532e/logs/debug.log
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_init.py:_log_setup():527] Logging internal logs to ./wandb/run-20240226_233041-l3h7532e/logs/debug-internal.log
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_init.py:init():566] calling init triggers
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'dataset': 'nyu', 'avoid_boundary': False, 'min_depth': 0.001, 'max_depth': 10, 'data_path': './data/nyu/sync', 'gt_path': './data/nyu/sync', 'filenames_file': './train_test_inputs/nyudepthv2_train_files_with_gt.txt', 'input_height': 480, 'input_width': 640, 'data_path_eval': './data/nyu/dataset/nyu_depth_v2/official_splits/test', 'gt_path_eval': './data/nyu/dataset/nyu_depth_v2/official_splits/test', 'filenames_file_eval': './train_test_inputs/nyudepthv2_test_files_with_gt.txt', 'min_depth_eval': 0.001, 'max_depth_eval': 10, 'min_depth_diff': -10, 'max_depth_diff': 10, 'do_random_rotate': True, 'degree': 1.0, 'do_kb_crop': False, 'garg_crop': False, 'eigen_crop': True, 'save_dir': './depth_anything_finetune', 'project': 'MonoDepth3-nyu', 'tags': '', 'notes': '', 'gpu': 0, 'root': '.', 'uid': '6f9e2a185921', 'print_losses': False, 'distributed': True, 'workers': 16, 'clip_grad': 0.1, 'use_shared_dict': False, 'shared_dict': None, 'use_amp': False, 'aug': True, 'random_crop': False, 'random_translate': False, 'translate_prob': 0.2, 'max_translation': 100, 'validate_every': 0.25, 'log_images_every': 0.1, 'prefetch': False, 'name': 'ZoeDepth', 'version_name': 'v1', 'n_bins': 64, 'bin_embedding_dim': 128, 'bin_centers_type': 'softplus', 'n_attractors': [16, 8, 4, 1], 'attractor_alpha': 1000, 'attractor_gamma': 2, 'attractor_kind': 'mean', 'attractor_type': 'inv', 'midas_model_type': 'DPT_BEiT_L_384', 'min_temp': 0.0212, 'max_temp': 50.0, 'output_distribution': 'logbinomial', 'memory_efficient': True, 'inverse_midas': False, 'img_size': [392, 518], 'train_midas': True, 'use_pretrained_midas': True, 'trainer': 'zoedepth', 'epochs': 5, 'bs': 1, 'lr': 0.000161, 'wd': 0.01, 'div_factor': 1, 'final_div_factor': 10000, 'pct_start': 0.7, 'three_phase': False, 'cycle_momentum': True, 'same_lr': False, 'w_si': 1, 'w_domain': 0.2, 'w_reg': 0, 'w_grad': 0, 'midas_lr_factor': 50, 'encoder_lr_factor': 50, 'pos_enc_lr_factor': 50, 'freeze_midas_bn': True, 'pretrained_resource': '', 'model': 'zoedepth', 'batch_size': 1, 'mode': 'train', 'world_size': 1, 'rank': 0, 'dist_url': 'tcp://127.0.0.1:15013', 'dist_backend': 'nccl', 'num_workers': 16, 'ngpus_per_node': 1, 'multigpu': True, 'total_params': '335.79M', 'run_id': '26-Feb_23-30-6f9e2a185921', 'experiment_id': 'ZoeDepthv1_26-Feb_23-30-6f9e2a185921'}
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_init.py:init():616] starting backend
2024-02-26 23:30:41,226 INFO    MainThread:14925 [wandb_init.py:init():620] setting up manager
2024-02-26 23:30:41,228 INFO    MainThread:14925 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: fork
2024-02-26 23:30:41,229 INFO    MainThread:14925 [wandb_init.py:init():628] backend started and connected
2024-02-26 23:30:41,232 INFO    MainThread:14925 [wandb_init.py:init():720] updated telemetry
2024-02-26 23:30:41,298 INFO    MainThread:14925 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-26 23:30:41,602 INFO    MainThread:14925 [wandb_run.py:_on_init():2262] communicating current version
2024-02-26 23:30:41,715 INFO    MainThread:14925 [wandb_run.py:_on_init():2271] got version response 
2024-02-26 23:30:41,715 INFO    MainThread:14925 [wandb_init.py:init():804] starting run threads in backend
2024-02-26 23:30:42,151 INFO    MainThread:14925 [wandb_run.py:_console_start():2241] atexit reg
2024-02-26 23:30:42,151 INFO    MainThread:14925 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-26 23:30:42,151 INFO    MainThread:14925 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-26 23:30:42,151 INFO    MainThread:14925 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-26 23:30:42,152 INFO    MainThread:14925 [wandb_init.py:init():847] run started, returning control to user process
2024-02-26 23:30:55,845 INFO    MainThread:14925 [wandb_run.py:_finish():1970] finishing run zhefanx/MonoDepth3-nyu/l3h7532e
2024-02-26 23:30:55,845 INFO    MainThread:14925 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
